sequence_name,clade
A/swine/Iowa/A02135880/2017|A_/_H3N2|unassigned|2017-11-07|HA|4||EPI_ISL_296277,2010.1
A/swine/Illinois/A01202978/2011|A_/_H3N2|unassigned|2011-12-16|HA|4||EPI_ISL_127583,1990.4.a
"Influenza A virus (A/swine/Ohio/22TOSU0644/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2022-05-14|OP870164.1",2010.1
A/swine/Iowa/A02862919/2024|A_/_H3N2|unassigned|2024-09-25|HA|4||EPI_ISL_19521831,2010.1
A/swine/Ohio/23-27426-6/2023|A_/_H3N2|unassigned|2023-11-09|HA|4||EPI_ISL_20185884,2010.1
A/swine/Indiana/A01049349/2010|A_/_H3N2|unassigned|2010-12-29|HA|4||EPI_ISL_102558,1990.4
A/swine/Minnesota/A01785531/2018|A_/_H3N2|unassigned|2018-05-01|HA|4||EPI_ISL_328767,2010.1
A/swine/Iowa/G47670/2023|A_/_H3N2|3C.2|2023-05-12|HA|4||EPI_ISL_18144133,2010.1
A/swine/North_Carolina/01484/2006|A_/_H3N2|unassigned|2006-11-03|HA|4||EPI_ISL_150842,1990.4
"Influenza A virus (A/swine/Minnesota/A02980470/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa|2025-04-07|PV702727.1",2010.1
A/swine/Kansas/A02978480/2023|A_/_H3N2|unassigned|2023-05-01|HA|4||EPI_ISL_17809150,2010.1
A/swine/Minnesota/A02751436/2022|A_/_H3N2|unassigned|2022-12-27|HA|4||EPI_ISL_17184146,1990.4.a
A/swine/Ohio/17TOSU7274/2017|A_/_H3N2|unassigned|2017-08-01|HA|4||EPI_ISL_379353,2010.1
A/swine/Minnesota/A02712632/2022|A_/_H3N2|3C.3a|2022-11-30|HA|4||EPI_ISL_16891369,1990.4.a
A/swine/Iowa/A02750712/2022|A_/_H3N2|unassigned|2022-07-15|HA|4||EPI_ISL_14931858,1990.4.a
A/swine/Kansas/A02862984/2024|A_/_H3N2|3C.2|2024-10-16|HA|4||EPI_ISL_19554446,2010.1
A/swine/Iowa/100972/2019|A_/_H3|3C.3a|2019-12-04|HA|4||EPI_ISL_19278258,1990.4.a
A/swine/Iowa/MT_12_07_1914/2012|A_/_H3N2|unassigned|2012-02-27|HA|4||EPI_ISL_271653,1990.4.f
A/swine/Ohio/A02862443/2024|A_/_H3N2|unassigned|2024-03-21|HA|4||EPI_ISL_19095225,2010.2
A/swine/Indiana/A01202621/2011|A_/_H3N2|unassigned|2011-09-28|HA|4||EPI_ISL_124316,1990.4.a
A/swine/Iowa/A02861505/2023|A_/_H3N2|unassigned|2023-05-11|HA|4||EPI_ISL_18037858,2010.1
A/swine/Iowa/A01797426/2015|A_/_H3N2|unassigned|2015-11-17|HA|4||EPI_ISL_208919,2010.1
A/swine/Illinois/101563/2019|A_/_H3|unassigned|2019-01-17|HA|4||EPI_ISL_19278456,2010.1
A/swine/Illinois/101248/2010|A_/_H3|3C.2|2010-12-02|HA|4||EPI_ISL_19279401,1990.4
A/swine/Illinois/A02635728/2021|A_/_H3N2|unassigned|2021-04-20|HA|4||EPI_ISL_4083619,2010.1
A/swine/Ohio/ISU-A02862213/2024|A_/_H3N2|unassigned|2024-01-10|HA|4||EPI_ISL_18934817,2010.2
A/swine/Indiana/A02524710/2020|A_/_H3N2|3C.2a1|2020-10-07|HA|4||EPI_ISL_697709,2010.2
A/swine/Indiana/A02858566/2025|A_/_H3N2|3C.2|2025-04-28|HA|4||EPI_ISL_19885006,2010.1
A/swine/North_Carolina/A01785552/2018|A_/_H3N2|unassigned|2018-05-18|HA|4||EPI_ISL_328411,2010.1
"Influenza A virus (A/swine/Texas/A01785724/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Texas|Sus scrofa|2018-10-29|MK176502.1",1990.4.a
A/swine/Iowa/21TOSU0819/2021|A_/_H3N2|3C.2|2021-05-27|HA|4||EPI_ISL_18005787,2010.1
A/swine/Indiana/A01729045/2016|A_/_H3N2|unassigned|2016-01-07|HA|4||EPI_ISL_212213,1990.4.b2
A/swine/Ohio/28146/2019|A_/_H3N2|3C.3a|2019-12-30|HA|4||EPI_ISL_17204298,1990.4.a
A/swine/USA/A01409276/2013|A_/_H3N2|unassigned|2013-11-01|HA|4||EPI_ISL_154629,1990.4.a
A/swine/Minnesota/A01301345/2012|A_/_H3N2|unassigned|2012-08-02|HA|4||EPI_ISL_130132,1990.4.f
A/swine/Illinois/A01432795/2013|A_/_H3N2|unassigned|2013-06-01|HA|4||EPI_ISL_144537,1990.4.a
A/swine/Nebraska/A01240867/2012|A_/_H3N2|unassigned|2012-01-03|HA|4||EPI_ISL_130146,1990.4.f
A/swine/Ohio/OH21-25418/2021|A_/_H3N2|3C.3a|2021-10-29|HA|4||EPI_ISL_17760626,1990.4.a
A/swine/Illinois/A01202825/2011|A_/_H3N2|unassigned|2011-11-09|HA|4||EPI_ISL_127814,1990.4.f
"Influenza A virus (A/swine/North Carolina/A02979335/2024(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa|2024-11-19|PQ851358.1",2010.1
A/swine/Nebraska/101655/2022|A_/_H3|3C.2|2022-02-28|HA|4||EPI_ISL_19277937,2010.1
A/swine/Nebraska/A01491325/2014|A_/_H3N2|unassigned|2014-01-27|HA|4||EPI_ISL_157156,1990.4.a
A/swine/Minnesota/A02245663/2020|A_/_H3N2|unassigned|2020-05-28|HA|4||EPI_ISL_499229,2010.1
A/swine/Iowa/A02635920/2021|A_/_H3N2|unassigned|2021-06-18|HA|4||EPI_ISL_4084555,2010.1
A/swine/Ohio/A02751292/2022|A_/_H3N2|3C.2a1b.2a.2a.1|2022-12-01|HA|4||EPI_ISL_16891307,Other-Human-2020
A/swine/Iowa/ISU-A02861976/2023|A_/_H3N2|unassigned|2023-11-02|HA|4||EPI_ISL_18777122,2010.1
A/swine/Iowa/A02636318/2021|A_/_H3N2|unassigned|2021-09-28|HA|4||EPI_ISL_14770541,2010.1
A/swine/Ohio/13TOSU2194/2013|A_/_H3N2|unassigned|2013-01-01|HA|4||EPI_ISL_16706630,1990.4.a
A/swine/Iowa/A02863008/2024|A_/_H3N2|3C.2|2024-10-14|HA|4||EPI_ISL_19554453,2010.1
A/swine/Ohio/11SW87/2011|A_/_H3N2|unassigned|2011-08-05|HA|4||EPI_ISL_133873,1990.4.a
A/swine/Iowa/A01944835/2015|A_/_H3N2|unassigned|2015-10-27|HA|4||EPI_ISL_205324,1990.4.a
A/swine/Iowa/A02478878/2019|A_/_H3N2|unassigned|2019-11-14|HA|4||EPI_ISL_503403,1990.4.a
A/swine/Iowa/104695_02858897/2025|A_/_H3N2|unassigned|2025-10-06|HA|4||EPI_ISL_20247434,2010.1
A/swine/Kansas/A02978511/2023|A_/_H3N2|unassigned|2023-05-04|HA|4||EPI_ISL_18090345,2010.1
A/swine/Nebraska/A01271549/2012|A_/_H3N2|unassigned|2012-10-29|HA|4||EPI_ISL_133009,1990.4.f
A/swine/Illinois/A01201770/2011|A_/_H3N2|unassigned|2011-06-19|HA|4||EPI_ISL_116360,1990.4
"Influenza A virus (A/swine/Iowa/A02861264/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2023-03-06|OQ836500.1",1990.4.a
"Influenza A virus (A/swine/Iowa/A02221872/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2017-09-19|MG241363.1",2010.1
A/swine/Arkansas/A01678578/2018|A_/_H3N2|3C.2a1|2018-08-09|HA|4||EPI_ISL_327179,2010.2
A/swine/Nebraska/A02257337/2018|A_/_H3N2|unassigned|2018-09-14|HA|4||EPI_ISL_379809,1990.4.a
A/swine/Arizona/A02524632/2020|A_/_H3N2|unassigned|2020-09-11|HA|4||EPI_ISL_697530,1990.4.a
A/swine/North_Carolina/A02524712/2020|A_/_H3N2|unassigned|2020-10-08|HA|4||EPI_ISL_697710,1990.4.a
A/swine/Iowa/A02636362/2022|A_/_H3N2|unassigned|2022-01-05|HA|4||EPI_ISL_14775516,1990.4.a
A/swine/Minnesota/A02524797/2020|A_/_H3N2|unassigned|2020-10-27|HA|4||EPI_ISL_4081601,1990.4.i
A/swine/North_Carolina/A02524478/2020|A_/_H3N2|unassigned|2020-07-01|HA|4||EPI_ISL_700969,1990.4.a
A/swine/Minnesota/A02861557/2023|A_/_H3N2|unassigned|2023-06-06|HA|4||EPI_ISL_18037874,2010.1
A/swine/Iowa/K019093/2024|A_/_H3N2|unassigned|2024-02-22|HA|4||EPI_ISL_19283980,2010.1
A/swine/North_Carolina/A02750736/2022|A_/_H3N2|unassigned|2022-07-26|HA|4||EPI_ISL_14937148,1990.4.a
A/swine/Iowa/A02636490/2022|A_/_H3N2|unassigned|2022-02-14|HA|4||EPI_ISL_14777813,1990.4.a
A/swine/Indiana/A02479148/2020|A_/_H3N2|unassigned|2020-03-18|HA|4||EPI_ISL_504079,1990.4.a
A/swine/North_Carolina/SG1230/2005|A_/_H3N2|unassigned|2005-03-16|HA|4||EPI_ISL_150831,1990.4
A/swine/North_Carolina/A02140803/2018|A_/_H3N2|unassigned|2018-01-10|HA|4||EPI_ISL_299529,2010.1
A/swine/Iowa/A02862957/2024|A_/_H3N2|3C.2|2024-10-10|HA|4||EPI_ISL_19548158,2010.1
"Influenza A virus (A/swine/Minnesota/A02861274/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Minnesota|Sus scrofa|2023-03-07|OQ836510.1",2010.1
A/swine/Ohio/OH-22545/2021|A_/_H3N2|3C.3a|2021-09-30|HA|4||EPI_ISL_17471888,1990.4.a
A/swine/Ohio/A02863103/2024|A_/_H3N2|unassigned|2024-11-04|HA|4||EPI_ISL_19603475,2010.2
A/swine/Iowa/A02751463/2023|A_/_H3N2|unassigned|2023-01-12|HA|4||EPI_ISL_17184163,2010.1
A/swine/Iowa/A02478632/2019|A_/_H3N2|unassigned|2019-09-04|HA|4||EPI_ISL_393552,2010.1
A/swine/Wyoming/A01380322/2013|A_/_H3N2|unassigned|2013-04-30|HA|4||EPI_ISL_143212,1990.4.a
A/swine/Illinois/A00843193/2014|A_/_H3N2|unassigned|2014-01-03|HA|4||EPI_ISL_156552,1990.4.a
A/swine/Iowa/004610_02859088/2025|A_/_H3N2|unassigned|2025-11-17|HA|4||EPI_ISL_20389482,2010.1
A/swine/Michigan/A02524482/2020|A_/_H3N2|unassigned|2020-07-09|HA|4||EPI_ISL_700974,2010.1
A/swine/Iowa/004542_02859028/2025|A_/_H3N1|unassigned|2025-10-29|HA|4||EPI_ISL_20389478,2010.1
A/swine/North_Carolina/A02750672/2021|A_/_H3N2|unassigned|2021-06-30|HA|4||EPI_ISL_14885472,1990.4.a
A/swine/Texas/A01785298/2017|A_/_H3N2|unassigned|2017-09-20|HA|4||EPI_ISL_284680,1990.4.a
A/swine/Iowa/A01776537/2016|A_/_H3N2|unassigned|2016-06-13|HA|4||EPI_ISL_252709,2010.1
A/swine/Iowa/A02751105/2022|A_/_H3N2|unassigned|2022-10-26|HA|4||EPI_ISL_16925113,1990.4.a
A/swine/Ohio/ISU-A02862020/2023|A_/_H3N2|3C.2|2023-11-08|HA|4||EPI_ISL_18777067,2010.1
A/swine/Iowa/A02858637/2025|A_/_H3N2|unassigned|2025-05-23|HA|4||EPI_ISL_19918029,2010.1
A/swine/Kansas/A02245376/2020|A_/_H3N2|unassigned|2020-01-07|HA|4||EPI_ISL_503342,2010.1
A/swine/Iowa/ISU-A02861989/2023|A_/_H3N2|unassigned|2023-10-30|HA|4||EPI_ISL_18777116,2010.1
A/swine/Michigan/100593/2019|A_/_H3|3C.3a1|2019-06-28|HA|4||EPI_ISL_19278358,Other-Human-2010
A/swine/Oklahoma/ISU-A02861891/2023|A_/_H3N2|unassigned|2023-10-12|HA|4||EPI_ISL_18758307,2010.1
A/swine/Kansas/A01378043/2019|A_/_H3N2|unassigned|2019-02-21|HA|4||EPI_ISL_369835,2010.1
A/swine/Illinois/100501/2018|A_/_H3|unassigned|2018-05-25|HA|4||EPI_ISL_19278584,1990.4.b1
A/swine/Iowa/A02636647/2022|A_/_H3N2|unassigned|2022-04-20|HA|4||EPI_ISL_14835649,1990.4.a
A/swine/Iowa/A02863032/2024|A_/_H3N2|3C.2|2024-10-24|HA|4||EPI_ISL_19556926,2010.1
A/swine/Minnesota/MT_13_01_S75/2013|A_/_H3N2|unassigned|2013-02-25|HA|4||EPI_ISL_281970,1990.4.b1
A/swine/Indiana/21TOSU1440/2021|A_/_H3N2|3C.2|2021-06-17|HA|4||EPI_ISL_18005737,2010.1
A/swine/Michigan/A02858722/2025|A_/_H3N2|3C.3a|2025-07-16|HA|4||EPI_ISL_20101460,1990.4.a
A/swine/Oklahoma/A02245730/2020|A_/_H3N2|unassigned|2020-10-01|HA|4||EPI_ISL_697665,2010.1
A/swine/Ohio/ISU-A02862103/2023|A_/_H3N2|3C.2|2023-12-04|HA|4||EPI_ISL_18739152,2010.1
A/swine/Ohio/A02635724/2021|A_/_H3N2|unassigned|2021-04-21|HA|4||EPI_ISL_4083625,1990.4.a
"Influenza A virus (A/swine/Iowa/20TOSU2080/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2020-07-10|OP655082.1",1990.4.a
A/swine/Iowa/A01566472/2014|A_/_H3N2|unassigned|2014-09-24|HA|4||EPI_ISL_170824,1990.4.b1
A/swine/Kansas/A02751452/2023|A_/_H3N2|unassigned|2023-01-05|HA|4||EPI_ISL_17184131,1990.4.a
A/swine/Iowa/A02478877/2019|A_/_H3N2|unassigned|2019-11-12|HA|4||EPI_ISL_503947,1990.1
A/swine/North_Carolina/A01410527/2014|A_/_H3N2|unassigned|2014-03-01|HA|4||EPI_ISL_162022,1990.4.a
A/swine/Minnesota/A02979370/2024|A_/_H3N2|unassigned|2024-11-11|HA|4||EPI_ISL_19820114,1990.4.a
A/swine/Iowa/A01432826/2013|A_/_H3N2|unassigned|2013-06-01|HA|4||EPI_ISL_147156,1990.4.b1
A/swine/Oklahoma/A02245714/2020|A_/_H3N2|unassigned|2020-09-11|HA|4||EPI_ISL_707321,2010.1
A/swine/Iowa/A02636596/2022|A_/_H3N2|unassigned|2022-03-22|HA|4||EPI_ISL_14779685,1990.4.a
A/swine/Iowa/20TOSU2177/2020|A_/_H3N2|unassigned|2020-07-10|HA|4||EPI_ISL_14224356,1990.4.a
A/swine/Ohio/A02636142/2021|A_/_H3N2|unassigned|2021-09-15|HA|4||EPI_ISL_6795284,1990.4.a
A/swine/Minnesota/A02248207/2021|A_/_H3N2|unassigned|2021-09-18|HA|4||EPI_ISL_6795331,2010.1
A/swine/Minnesota/A02858464/2025|A_/_H3N2|unassigned|2025-03-19|HA|4||EPI_ISL_19824138,1990.4.a
A/swine/North_Carolina/A02751467/2023|A_/_H3N2|unassigned|2023-01-09|HA|4||EPI_ISL_17184156,1990.4.a
"Influenza A virus (A/swine/Iowa/A02524750/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2020-10-15|MW266863.1",1990.4.a
A/swine/Iowa/A01203751/2012|A_/_H3N2|unassigned|2012-08-15|HA|4||EPI_ISL_130192,1990.4.d
A/swine/Indiana/24TOSU2656/2024|A_/_H3N2|3C.3a|2024-07-12|HA|4||EPI_ISL_19815618,1990.4.a
A/swine/Kentucky/A02636480/2022|A_/_H3N2|unassigned|2022-02-07|HA|4||EPI_ISL_14777805,2010.1
A/swine/Minnesota/02952/2009|A_/_H3N2|unassigned|2009-11-17|HA|4||EPI_ISL_71043,1990.4.b2
A/swine/Minnesota/A02245188/2019|A_/_H3N2|unassigned|2019-06-28|HA|4||EPI_ISL_372895,1990.4.b2
"Influenza A virus (A/swine/Iowa/20TOSU2183/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2020-07-10|OP655070.1",1990.4.a
"Influenza A virus (A/swine/Illinois/A02861256/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Illinois|Sus scrofa|2023-03-03|OQ836537.1",2010.1
A/swine/Minnesota/A01781978/2016|A_/_H3N2|unassigned|2016-09-28|HA|4||EPI_ISL_245055,2010.1
A/swine/Ohio/17TOSU4798/2017|A_/_H3N2|unassigned|2017-09-01|HA|4||EPI_ISL_379273,2010.1
A/swine/Illinois/A01475266/2014|A_/_H3N2|unassigned|2014-03-01|HA|4||EPI_ISL_162314,1990.4.a
A/swine/Arkansas/A01840185/2014|A_/_H3N2|unassigned|2014-11-08|HA|4||EPI_ISL_173655,1990.4.b1
A/swine/Iowa/ISU-A02861788/2023|A_/_H3N2|3C.2|2023-09-08|HA|4||EPI_ISL_18363581,2010.1
A/swine/Illinois/A01536474/2014|A_/_H3N2|unassigned|2014-04-07|HA|4||EPI_ISL_162912,1990.4.a
"Influenza A virus (A/swine/Minnesota/A02980735/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa|2025-11-13|PX698755.1",1990.4.a
A/swine/Iowa/A02862507/2024|A_/_H3N2|unassigned|2024-04-03|HA|4||EPI_ISL_19095245,2010.1
A/swine/Indiana/A02862713/2024|A_/_H3N2|unassigned|2024-06-26|HA|4||EPI_ISL_19310961,1990.4.a
A/swine/Illinois/A01795807/2015|A_/_H3N2|unassigned|2015-11-06|HA|4||EPI_ISL_205081,1990.4.e
A/swine/Iowa/A02524572/2020|A_/_H3N2|unassigned|2020-08-26|HA|4||EPI_ISL_707276,2010.2
A/swine/Utah/A02138837/2017|A_/_H3N2|unassigned|2017-12-15|HA|4||EPI_ISL_301929,2010.1
A/swine/Oklahoma/A02248047/2021|A_/_H3N2|unassigned|2021-12-02|HA|4||EPI_ISL_14770021,2010.1
A/swine/North_Carolina/A02858610/2025|A_/_H3N2|unassigned|2025-05-14|HA|4||EPI_ISL_19902454,2010.1
A/swine/Indiana/A02479020/2020|A_/_H3N2|unassigned|2020-01-22|HA|4||EPI_ISL_503443,1990.4.a
A/swine/North_Carolina/A01668240/2016|A_/_H3N2|unassigned|2016-11-10|HA|4||EPI_ISL_246038,1990.4.a
A/swine/Minnesota/A01477780/2014|A_/_H3N2|unassigned|2014-10-22|HA|4||EPI_ISL_170815,1990.4.a
A/swine/Minnesota/A01392079/2013|A_/_H3N2|unassigned|2013-09-18|HA|4||EPI_ISL_151709,1990.4.a
A/swine/Minnesota/A01941693/2015|A_/_H3N2|unassigned|2015-12-30|HA|4||EPI_ISL_212198,2010.1
"Influenza A virus (A/swine/Ohio/23TOSU1008/2023(H3Nx)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3Nx|USA|Sus scrofa scrofa|2023-05-06|OR779280.1",
A/swine/Iowa/A02219543/2017|A_/_H3N2|unassigned|2017-08-04|HA|4||EPI_ISL_281987,2010.1
A/swine/Ohio/OH-17708/2021|A_/_H3N2|3C.3a|2021-07-27|HA|4||EPI_ISL_17471849,1990.4.a
A/swine/Indiana/A02751202/2022|A_/_H3N2|3C.3a|2022-11-07|HA|4||EPI_ISL_16924975,1990.4.a
A/swine/Iowa/A02479211/2020|A_/_H3N2|unassigned|2020-04-06|HA|4||EPI_ISL_502862,1990.1
A/swine/Pennsylvania/A02525008/2020|A_/_H3N2|unassigned|2020-12-18|HA|4||EPI_ISL_4081907,1990.4.a
A/swine/North_Carolina/A01476367/2014|A_/_H3N2|unassigned|2014-09-08|HA|4||EPI_ISL_167427,1990.4.a
A/swine/Iowa/A02862585/2024|A_/_H3N2|unassigned|2024-04-22|HA|4||EPI_ISL_19178091,2010.1
A/swine/Minnesota/A01677935/2016|A_/_H3N2|unassigned|2016-05-25|HA|4||EPI_ISL_230208,2010.1
"Influenza A virus (A/swine/Iowa/A02154766/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2018-03-02|MH156825.1",1990.4.a
"Influenza A virus (A/swine/Kentucky/23TOSU2303/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2023-07-05|PP445457.1",1990.4.a
A/swine/Iowa/A01290671/2013|A_/_H3N2|unassigned|2013-10-01|HA|4||EPI_ISL_153728,1990.4.b1
A/swine/Iowa/A02861585/2023|A_/_H3N2|3C.3a|2023-06-14|HA|4||EPI_ISL_18037837,1990.4.a
A/swine/Iowa/A01555142/2014|A_/_H3N2|unassigned|2014-12-08|HA|4||EPI_ISL_174464,1990.4.a
A/swine/Iowa/A02254234/2018|A_/_H3N2|unassigned|2018-07-20|HA|4||EPI_ISL_327466,2010.1
"Influenza A virus (A/swine/Illinois/A01502448/2014(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Illinois|Sus scrofa|2014-07-14|KM234957.1",1990.4.e
A/swine/Iowa/ISU-A02861899/2023|A_/_H3N2|3C.3a|2023-10-11|HA|4||EPI_ISL_18758302,1990.4.a
A/swine/Illinois/A01749812/2016|A_/_H3N2|unassigned|2016-02-29|HA|4||EPI_ISL_219894,1990.4.a
A/swine/Oklahoma/65260/2017|A_/_H3N2|3C.2a1|2017-09-27|HA|4||EPI_ISL_327180,2010.2
A/swine/Ohio/12TOSU420/2012|A_/_H3N2|unassigned|2012-08-06|HA|4||EPI_ISL_129361,1990.4.a
A/swine/Illinois/21TOSU2173/2021|A_/_H3N2|unassigned|2021-06-25|HA|4||EPI_ISL_14872431,1990.4.a
A/swine/Indiana/A02478837/2019|A_/_H3N2|3C.2a1|2019-11-07|HA|4||EPI_ISL_503375,2010.2
A/swine/Minnesota/082313_02858754/2025|A_/_H3N2|unassigned|2025-08-05|HA|4||EPI_ISL_20153174,1990.4.i
A/swine/North_Carolina/A01410688/2014|A_/_H3N2|unassigned|2014-04-01|HA|4||EPI_ISL_162887,1990.4.a
A/swine/Nebraska/A01567651/2015|A_/_H3N2|unassigned|2015-01-12|HA|4||EPI_ISL_180639,1990.4.a
A/swine/Minnesota/USDA-A02978626/2023|A_/_H3N2|unassigned|2023-11-22|HA|4||EPI_ISL_18911177,2010.1
A/swine/Minnesota/A01567013/2014|A_/_H3N2|unassigned|2014-06-16|HA|4||EPI_ISL_174444,1990.4.a
A/swine/Nebraska/A01567207/2014|A_/_H3N2|unassigned|2014-12-18|HA|4||EPI_ISL_173624,1990.4.a
A/swine/Minnesota/A01381378/2013|A_/_H3N2|unassigned|2013-05-23|HA|4||EPI_ISL_143877,1990.4.c
A/swine/Illinois/A01462483/2015|A_/_H3N2|unassigned|2015-01-09|HA|4||EPI_ISL_180678,1990.4.e
A/swine/North_Carolina/A01477954/2014|A_/_H3N2|unassigned|2014-11-21|HA|4||EPI_ISL_182319,1990.4.a
A/swine/Illinois/1B-0614-P23/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_16705686,1990.4.a
A/swine/Pennsylvania/A02862891/2024|A_/_H3N2|3C.2|2024-09-17|HA|4||EPI_ISL_19501211,2010.1
A/swine/Indiana/21TOSU0963/2021|A_/_H3N2|unassigned|2021-06-17|HA|4||EPI_ISL_14872406,1990.4.a
"Influenza A virus (A/swine/North Carolina/A01410779/2014(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: North Carolina|Sus scrofa|2014-05|KJ859594.1",1990.4.a
A/swine/Iowa/A02751111/2022|A_/_H3N2|3C.2|2022-10-27|HA|4||EPI_ISL_16854568,2010.1
A/swine/Iowa/101654_02858875/2025|A_/_H3N2|unassigned|2025-09-30|HA|4||EPI_ISL_20231334,2010.1
A/swine/Nebraska/A01785423/2018|A_/_H3N2|unassigned|2018-01-18|HA|4||EPI_ISL_299573,1990.4.b2
A/swine/Michigan/A01410962/2014|A_/_H3N2|unassigned|2014-06-11|HA|4||EPI_ISL_165173,1990.4.a
A/swine/Iowa/A02858704/2025|A_/_H3N2|unassigned|2025-06-30|HA|4||EPI_ISL_20098715,1990.4.i
A/swine/Iowa/100347/2018|A_/_H3|unassigned|2018-02-07|HA|4||EPI_ISL_19278638,2010.1
A/swine/Indiana/A01260863/2015|A_/_H3N2|unassigned|2015-04-03|HA|4||EPI_ISL_191518,1990.4.a
A/swine/Minnesota/A02245096/2019|A_/_H3N2|unassigned|2019-03-28|HA|4||EPI_ISL_370339,1990.4.a
A/swine/Utah/A02479127/2020|A_/_H3N2|unassigned|2020-03-06|HA|4||EPI_ISL_503970,2010.1
A/swine/Minnesota/A02858718/2025|A_/_H3N2|unassigned|2025-07-14|HA|4||EPI_ISL_20101462,2010.1
A/swine/Oklahoma/A02245759/2020|A_/_H3N2|unassigned|2020-10-23|HA|4||EPI_ISL_697774,2010.1
A/swine/Iowa/A02858554/2025|A_/_H3N2|unassigned|2025-04-22|HA|4||EPI_ISL_19885003,2010.1
A/swine/Pennsylvania/A02858220/2024|A_/_H3N2|3C.2a1b.2a.2a.3a.1|2024-01-29|HA|4||EPI_ISL_19191131,Other-Human-2020
A/swine/Iowa/A01432072/2012|A_/_H3N2|unassigned|2012-10-01|HA|4||EPI_ISL_132336,1990.4.b1
A/swine/Ohio/09SW94/2009|A_/_H3N2|unassigned|2009-08-13|HA|4||EPI_ISL_133827,1990.4
A/swine/Iowa/078808_02858737/2025|A_/_H3N2|unassigned|2025-07-25|HA|4||EPI_ISL_20136935,2010.1
A/swine/North_Carolina/A01409981/2014|A_/_H3N2|unassigned|2014-02-01|HA|4||EPI_ISL_157887,1990.4.a
A/swine/Minnesota/A02245306/2019|A_/_H3N2|unassigned|2019-10-28|HA|4||EPI_ISL_399710,2010.1
A/swine/Iowa/07-13431/2007|A_/_H3N2|unassigned|2007-04-30|HA|4||EPI_ISL_258638,1990.4
A/swine/Indiana/A01812297/2019|A_/_H3N2|unassigned|2019-10-24|HA|4||EPI_ISL_506166,1990.4.a
A/swine/Minnesota/A01240095/2011|A_/_H3N2|unassigned|2011-11-21|HA|4||EPI_ISL_116235,1990.4.b2
A/swine/Minnesota/A02245823/2020|A_/_H3N2|unassigned|2020-11-10|HA|4||EPI_ISL_4081841,2010.1
A/swine/Missouri/A02862345/2024|A_/_H3N2|unassigned|2024-03-01|HA|4||EPI_ISL_19126032,2010.1
A/swine/Ohio/12TOSU464/2012|A_/_H3N2|unassigned|2012-08-09|HA|4||EPI_ISL_129357,1990.4.a
A/swine/Iowa/36243/2005|A_/_H3N2|unassigned|2005-01-01|HA|4||EPI_ISL_30344,1990.4
A/swine/Iowa/A01932040/2017|A_/_H3N2|unassigned|2017-02-08|HA|4||EPI_ISL_261465,2010.1
A/swine/Illinois/A02257390/2018|A_/_H3N2|unassigned|2018-09-08|HA|4||EPI_ISL_379804,2010.1
A/swine/Iowa/A02858582/2025|A_/_H3N2|unassigned|2025-04-30|HA|4||EPI_ISL_19885026,2010.1
"Influenza A virus (A/swine/Ohio/OH22-1572/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Ohio|Sus scrofa|2022-01-24|OQ750000.1",1990.4.a
