"sequence_name","clade","name_cleaned","location","date"
"A/swine/Iowa/20TOSU2061/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224368","unassigned","A/swine/Iowa/20TOSU2061/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224368","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1870/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224374","unassigned","A/swine/Iowa/20TOSU1870/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224374","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2040/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224360","unassigned","A/swine/Iowa/20TOSU2040/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224360","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1977/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224355","unassigned","A/swine/Iowa/20TOSU1977/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224355","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2192/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224354","unassigned","A/swine/Iowa/20TOSU2192/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224354","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2219/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224315","unassigned","A/swine/Iowa/20TOSU2219/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224315","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2226/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224309","unassigned","A/swine/Iowa/20TOSU2226/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224309","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2107/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224308","unassigned","A/swine/Iowa/20TOSU2107/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224308","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2290/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224297","unassigned","A/swine/Iowa/20TOSU2290/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224297","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2276/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224292","unassigned","A/swine/Iowa/20TOSU2276/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224292","Iowa","2020-07-10"
"A/swine/Ohio/20TOSU3556/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224294","unassigned","A/swine/Ohio/20TOSU3556/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224294","Ohio","2020-09-16"
"A/swine/Ohio/20TOSU3555/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224217","unassigned","A/swine/Ohio/20TOSU3555/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224217","Ohio","2020-09-16"
"A/swine/Iowa/20TOSU2429/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224216","unassigned","A/swine/Iowa/20TOSU2429/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224216","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2286/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224221","unassigned","A/swine/Iowa/20TOSU2286/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224221","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2442/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224220","unassigned","A/swine/Iowa/20TOSU2442/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224220","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2455/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224222","unassigned","A/swine/Iowa/20TOSU2455/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224222","Iowa","2020-07-10"
"A/swine/Ohio/20TOSU3549/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224209","unassigned","A/swine/Ohio/20TOSU3549/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224209","Ohio","2020-09-16"
"A/swine/Ohio/20TOSU3548/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224203","unassigned","A/swine/Ohio/20TOSU3548/2020|A_/_H3N2|unassigned|2020-09-16|HA|4|EPI_ISL_14224203","Ohio","2020-09-16"
"A/swine/Ohio/20TOSU2578/2020|A_/_H3N2|unassigned|2020-07-18|HA|4|EPI_ISL_14224192","unassigned","A/swine/Ohio/20TOSU2578/2020|A_/_H3N2|unassigned|2020-07-18|HA|4|EPI_ISL_14224192","Ohio","2020-07-18"
"A/swine/Iowa/20TOSU2284/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224241","unassigned","A/swine/Iowa/20TOSU2284/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224241","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2268/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224243","unassigned","A/swine/Iowa/20TOSU2268/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224243","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2282/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224234","unassigned","A/swine/Iowa/20TOSU2282/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224234","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2271/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224238","unassigned","A/swine/Iowa/20TOSU2271/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224238","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2295/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224224","unassigned","A/swine/Iowa/20TOSU2295/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224224","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2456/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224226","unassigned","A/swine/Iowa/20TOSU2456/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224226","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2300/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224228","unassigned","A/swine/Iowa/20TOSU2300/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224228","Iowa","2020-07-10"
"A/swine/Ohio/20TOSU2531/2020|A_/_H3N2|unassigned|2020-07-18|HA|4|EPI_ISL_14224190","unassigned","A/swine/Ohio/20TOSU2531/2020|A_/_H3N2|unassigned|2020-07-18|HA|4|EPI_ISL_14224190","Ohio","2020-07-18"
"A/swine/Iowa/20TOSU1875/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224409","unassigned","A/swine/Iowa/20TOSU1875/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224409","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1552/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224411","unassigned","A/swine/Iowa/20TOSU1552/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224411","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1567/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224401","unassigned","A/swine/Iowa/20TOSU1567/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224401","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1675/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224402","unassigned","A/swine/Iowa/20TOSU1675/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224402","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1563/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224405","unassigned","A/swine/Iowa/20TOSU1563/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224405","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1864/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224404","unassigned","A/swine/Iowa/20TOSU1864/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224404","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1618/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224396","unassigned","A/swine/Iowa/20TOSU1618/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224396","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1852/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224398","unassigned","A/swine/Iowa/20TOSU1852/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224398","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1672/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224385","unassigned","A/swine/Iowa/20TOSU1672/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224385","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1806/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224390","unassigned","A/swine/Iowa/20TOSU1806/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224390","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2116/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224337","1990.4.a","A/swine/Iowa/20TOSU2116/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224337","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2172/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224367","unassigned","A/swine/Iowa/20TOSU2172/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224367","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2312/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224301","unassigned","A/swine/Iowa/20TOSU2312/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224301","Iowa","2020-07-10"
"A/swine/Ohio/20TOSU2573/2020|A_/_H3N2|unassigned|2020-07-18|HA|4|EPI_ISL_14224195","unassigned","A/swine/Ohio/20TOSU2573/2020|A_/_H3N2|unassigned|2020-07-18|HA|4|EPI_ISL_14224195","Ohio","2020-07-18"
"A/swine/Iowa/20TOSU1320/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224586","unassigned","A/swine/Iowa/20TOSU1320/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224586","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU2310/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224263","1990.4.a","A/swine/Iowa/20TOSU2310/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224263","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU1855/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224412","unassigned","A/swine/Iowa/20TOSU1855/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224412","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1854/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224400","unassigned","A/swine/Iowa/20TOSU1854/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224400","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2301/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224295","1990.4.a","A/swine/Iowa/20TOSU2301/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224295","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU1615/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224384","unassigned","A/swine/Iowa/20TOSU1615/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224384","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1793/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224590","unassigned","A/swine/Iowa/20TOSU1793/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224590","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1811/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224391","1990.4.a","A/swine/Iowa/20TOSU1811/2020|A_/_H3N2|1990.4.a|2020-07-09|HA|4|EPI_ISL_14224391","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1980/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224340","unassigned","A/swine/Iowa/20TOSU1980/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224340","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2042/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224328","unassigned","A/swine/Iowa/20TOSU2042/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224328","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2032/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224331","unassigned","A/swine/Iowa/20TOSU2032/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224331","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2021/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224335","unassigned","A/swine/Iowa/20TOSU2021/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224335","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU1402/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224378","unassigned","A/swine/Iowa/20TOSU1402/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224378","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1979/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224361","unassigned","A/swine/Iowa/20TOSU1979/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224361","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2185/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224363","unassigned","A/swine/Iowa/20TOSU2185/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224363","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2081/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224362","unassigned","A/swine/Iowa/20TOSU2081/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224362","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2186/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224358","unassigned","A/swine/Iowa/20TOSU2186/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224358","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU1991/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224311","unassigned","A/swine/Iowa/20TOSU1991/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224311","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2266/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224240","unassigned","A/swine/Iowa/20TOSU2266/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224240","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2220/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224244","unassigned","A/swine/Iowa/20TOSU2220/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224244","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2177/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224356","1990.4.a","A/swine/Iowa/20TOSU2177/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224356","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU1998/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224304","unassigned","A/swine/Iowa/20TOSU1998/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224304","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2126/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224359","1990.4.a","A/swine/Iowa/20TOSU2126/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224359","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2197/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224310","1990.4.a","A/swine/Iowa/20TOSU2197/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224310","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2407/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224194","1990.4.a","A/swine/Iowa/20TOSU2407/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224194","Iowa","2020-07-10"
"A/swine/Oklahoma/20TOSU3395/2020|A_/_H3N2|unassigned|2020-09-05|HA|4|EPI_ISL_14224227","1990.4.a","A/swine/Oklahoma/20TOSU3395/2020|A_/_H3N2|1990.4.a|2020-09-05|HA|4|EPI_ISL_14224227","Oklahoma","2020-09-05"
"A/swine/Iowa/20TOSU2004/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224343","1990.4.a","A/swine/Iowa/20TOSU2004/2020|A_/_H3N2|1990.4.a|2020-07-09|HA|4|EPI_ISL_14224343","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2408/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224193","unassigned","A/swine/Iowa/20TOSU2408/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224193","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2415/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224183","unassigned","A/swine/Iowa/20TOSU2415/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224183","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU1528/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224388","unassigned","A/swine/Iowa/20TOSU1528/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224388","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1848/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224392","1990.4.a","A/swine/Iowa/20TOSU1848/2020|A_/_H3N2|1990.4.a|2020-07-09|HA|4|EPI_ISL_14224392","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2141/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224330","1990.4.a","A/swine/Iowa/20TOSU2141/2020|A_/_H3N2|1990.4.a|2020-07-10|HA|4|EPI_ISL_14224330","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2074/2020|A_/_H3N2|unassigned|2020-07-09|HA|4|EPI_ISL_14224366","1990.4.a","A/swine/Iowa/20TOSU2074/2020|A_/_H3N2|1990.4.a|2020-07-09|HA|4|EPI_ISL_14224366","Iowa","2020-07-09"
"A/swine/Iowa/20TOSU2424/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224201","unassigned","A/swine/Iowa/20TOSU2424/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224201","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU2413/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224231","unassigned","A/swine/Iowa/20TOSU2413/2020|A_/_H3N2|unassigned|2020-07-10|HA|4|EPI_ISL_14224231","Iowa","2020-07-10"
"A/swine/Iowa/20TOSU1478/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224588","unassigned","A/swine/Iowa/20TOSU1478/2020|A_/_H3N2|unassigned|2020-07-08|HA|4|EPI_ISL_14224588","Iowa","2020-07-08"
"A/swine/Iowa/20TOSU1058/2020|A_/_H3N2|unassigned|2020-07-07|HA|4|EPI_ISL_14224394","1990.4.a","A/swine/Iowa/20TOSU1058/2020|A_/_H3N2|1990.4.a|2020-07-07|HA|4|EPI_ISL_14224394","Iowa","2020-07-07"
"A/swine/Indiana/20TOSU5763/2020|A_/_H3N2|unassigned|2020-10-03|HA|4|EPI_ISL_14224186","1990.4.a","A/swine/Indiana/20TOSU5763/2020|A_/_H3N2|1990.4.a|2020-10-03|HA|4|EPI_ISL_14224186","Indiana","2020-10-03"
"A/swine/Ohio/20TOSU3229/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224208","1990.4.a","A/swine/Ohio/20TOSU3229/2020|A_/_H3N2|1990.4.a|2020-08-28|HA|4|EPI_ISL_14224208","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3248/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224200","unassigned","A/swine/Ohio/20TOSU3248/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224200","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3240/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224204","unassigned","A/swine/Ohio/20TOSU3240/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224204","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3244/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224199","unassigned","A/swine/Ohio/20TOSU3244/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224199","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3238/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224225","unassigned","A/swine/Ohio/20TOSU3238/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224225","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3227/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224229","unassigned","A/swine/Ohio/20TOSU3227/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224229","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3241/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224184","unassigned","A/swine/Ohio/20TOSU3241/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224184","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3230/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224187","unassigned","A/swine/Ohio/20TOSU3230/2020|A_/_H3N2|unassigned|2020-08-28|HA|4|EPI_ISL_14224187","Ohio","2020-08-28"
"A/swine/Ohio/20TOSU3133/2020|A_/_H3N2|unassigned|2020-08-17|HA|4|EPI_ISL_14224205","1990.4.a","A/swine/Ohio/20TOSU3133/2020|A_/_H3N2|1990.4.a|2020-08-17|HA|4|EPI_ISL_14224205","Ohio","2020-08-17"
"A/swine/Iowa/A02636493/2022|A_/_H3N2|unassigned|2022-02-15|HA|4|EPI_ISL_14777887","1990.4.a","A/swine/Iowa/A02636493/2022|A_/_H3N2|1990.4.a|2022-02-15|HA|4|EPI_ISL_14777887","Iowa","2022-02-15"
"A/swine/Iowa/A02636490/2022|A_/_H3N2|unassigned|2022-02-14|HA|4|EPI_ISL_14777813","1990.4.a","A/swine/Iowa/A02636490/2022|A_/_H3N2|1990.4.a|2022-02-14|HA|4|EPI_ISL_14777813","Iowa","2022-02-14"
"A/swine/Minnesota/A02245828/2020|A_/_H3N2|unassigned|2020-12-11|HA|4|EPI_ISL_4081886","1990.4.a","A/swine/Minnesota/A02245828/2020|A_/_H3N2|1990.4.a|2020-12-11|HA|4|EPI_ISL_4081886","Minnesota","2020-12-11"
"A/swine/Indiana/A02245511/2020|A_/_H3N2|unassigned|2020-02-24|HA|4|EPI_ISL_503902","1990.4.a","A/swine/Indiana/A02245511/2020|A_/_H3N2|1990.4.a|2020-02-24|HA|4|EPI_ISL_503902","Indiana","2020-02-24"
"A/swine/Minnesota/A02245533/2020|A_/_H3N2|unassigned|2020-03-18|HA|4|EPI_ISL_504048","1990.4.a","A/swine/Minnesota/A02245533/2020|A_/_H3N2|1990.4.a|2020-03-18|HA|4|EPI_ISL_504048","Minnesota","2020-03-18"
"A/swine/Illinois/A02478926/2019|A_/_H3N2|unassigned|2019-11-25|HA|4|EPI_ISL_503943","1990.4.a","A/swine/Illinois/A02478926/2019|A_/_H3N2|1990.4.a|2019-11-25|HA|4|EPI_ISL_503943","Illinois","2019-11-25"
"A/swine/Illinois/A02479170/2020|A_/_H3N2|unassigned|2020-03-23|HA|4|EPI_ISL_504147","unassigned","A/swine/Illinois/A02479170/2020|A_/_H3N2|unassigned|2020-03-23|HA|4|EPI_ISL_504147","Illinois","2020-03-23"
"A/swine/Indiana/A02479023/2020|A_/_H3N2|unassigned|2020-01-21|HA|4|EPI_ISL_501282","1990.4.a","A/swine/Indiana/A02479023/2020|A_/_H3N2|1990.4.a|2020-01-21|HA|4|EPI_ISL_501282","Indiana","2020-01-21"
"A/swine/Illinois/A02479016/2020|A_/_H3N2|unassigned|2020-01-20|HA|4|EPI_ISL_501281","unassigned","A/swine/Illinois/A02479016/2020|A_/_H3N2|unassigned|2020-01-20|HA|4|EPI_ISL_501281","Illinois","2020-01-20"
"A/swine/Iowa/A02479008/2020|A_/_H3N2|unassigned|2020-01-21|HA|4|EPI_ISL_503384","unassigned","A/swine/Iowa/A02479008/2020|A_/_H3N2|unassigned|2020-01-21|HA|4|EPI_ISL_503384","Iowa","2020-01-21"
"A/swine/Indiana/A01812301/2020|A_/_H3N2|unassigned|2020-01-17|HA|4|EPI_ISL_503426","unassigned","A/swine/Indiana/A01812301/2020|A_/_H3N2|unassigned|2020-01-17|HA|4|EPI_ISL_503426","Indiana","2020-01-17"
"A/swine/Indiana/A02479428/2020|A_/_H3N2|unassigned|2020-06-04|HA|4|EPI_ISL_499202","1990.4.a","A/swine/Indiana/A02479428/2020|A_/_H3N2|1990.4.a|2020-06-04|HA|4|EPI_ISL_499202","Indiana","2020-06-04"
"A/swine/Iowa/A02479140/2020|A_/_H3N2|unassigned|2020-03-11|HA|4|EPI_ISL_504129","1990.4.a","A/swine/Iowa/A02479140/2020|A_/_H3N2|1990.4.a|2020-03-11|HA|4|EPI_ISL_504129","Iowa","2020-03-11"
